go jurong point crazi avail bugi n great world la e buffet cine got amor wat,0.0,0.633,0.367,0.8442,ham
ok lar joke wif u oni,0.0,0.476,0.524,0.5267,ham
free entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc appli over,0.0,0.717,0.283,0.7964,spam
u dun say earli hor u c alreadi say,0.0,1.0,0.0,0.0,ham
nah dont think goe usf live around though,0.167,0.833,0.0,-0.1027,ham
freemsg hey darl week word back id like fun still tb ok xxx std chg send rcv,0.0,0.636,0.364,0.7906,spam
even brother like speak treat like aid patent,0.0,0.394,0.606,0.7717,ham
per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0.0,0.814,0.186,0.4939,ham
winner valu network custom select receivea prize reward claim call claim code kl valid hour,0.0,0.526,0.474,0.8957,spam
mobil month u r entitl updat latest colour mobil camera free call mobil updat co free,0.0,0.68,0.32,0.765,spam
im gon na home soon dont want talk stuff anymor tonight k ive cri enough today,0.075,0.925,0.0,-0.0572,ham
six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info,0.0,0.798,0.202,0.5859,spam
urgent week free membership prize jackpot txt word claim tc lccltd pobox ldnwarw,0.0,0.543,0.457,0.8126,spam
ive search right word thank breather promis wont take help grant fulfil promis wonder bless time,0.202,0.554,0.245,0.234,ham
date sunday,0.0,1.0,0.0,0.0,ham
xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclubcomnqjkgighjjgcbl,0.0,0.794,0.206,0.3818,spam
oh kim watch,0.0,1.0,0.0,0.0,ham
eh u rememb spell name ye v naughti make v wet,0.0,1.0,0.0,0.0,ham
fine that way u feel that way gota b,0.0,0.816,0.184,0.2023,ham
england v macedonia dont miss goalsteam news txt ur nation team eg england trywal scotland txtú poboxoxwwq,0.0,0.917,0.083,0.1139,spam
serious spell name,0.394,0.606,0.0,-0.0772,ham
im go tri month ha ha joke,0.0,0.364,0.636,0.7184,ham
ü pay first lar da stock comin,0.189,0.811,0.0,-0.1027,ham
aft finish lunch go str lor ard smth lor u finish ur lunch alreadi,0.0,1.0,0.0,0.0,ham
ffffffffff alright way meet sooner,0.0,0.667,0.333,0.25,ham
forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol,0.27,0.609,0.122,-0.5267,ham
lol alway convinc,0.0,0.417,0.583,0.4215,ham
catch bu fri egg make tea eat mom left dinner feel love,0.0,0.724,0.276,0.6369,ham
im back amp pack car ill let know there room,0.237,0.763,0.0,-0.4215,ham
ahhh work vagu rememb feel like lol,0.0,0.485,0.515,0.6486,ham
wait that still clear sure sarcast that x doesnt want live us,0.081,0.595,0.324,0.5687,ham
yeah got v apologet n fallen actin like spoilt child got caught till wont go badli cheer,0.227,0.568,0.205,-0.1285,ham
k tell anyth,0.0,1.0,0.0,0.0,ham
fear faint housework quick cuppa,0.444,0.556,0.0,-0.4939,ham
thank subscript rington uk mobil charg month pleas confirm repli ye repli charg,0.0,0.828,0.172,0.3612,spam
yup ok go home look time msg ü xuhui go learn nd may lesson,0.0,0.855,0.145,0.296,ham
oop ill let know roommat done,0.359,0.641,0.0,-0.4215,ham
see letter b car,0.0,1.0,0.0,0.0,ham
anyth lor u decid,0.0,1.0,0.0,0.0,ham
hello how saturday go text see youd decid anyth tomo im tri invit anyth,0.0,1.0,0.0,0.0,ham
pl go ahead watt want sure great weekend abiola,0.0,0.438,0.562,0.7717,ham
forget tell want need crave love sweet arabian steed mmmmmm yummi,0.109,0.402,0.489,0.765,ham
rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow,0.0,0.68,0.32,0.765,spam
see,0.0,1.0,0.0,0.0,ham
great hope like man well endow ltgt inch,0.0,0.256,0.744,0.891,ham
callsmessagesmiss call,0.0,1.0,0.0,0.0,ham
didnt get hep b immunis nigeria,0.0,1.0,0.0,0.0,ham
fair enough anyth go,0.0,0.566,0.434,0.3182,ham
yeah hope tyler cant could mayb ask around bit,0.0,0.579,0.421,0.6249,ham
u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker,0.492,0.427,0.08,-0.8901,ham
think first time saw class,0.0,1.0,0.0,0.0,ham
gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt,0.0,0.703,0.297,0.6705,ham
k fyi x ride earli tomorrow morn he crash place tonight,0.2,0.667,0.133,-0.2263,ham
wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass,0.0,0.687,0.313,0.8885,ham
sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,0.193,0.702,0.105,-0.4588,spam
know mallika sherawat yesterday find lturlgt,0.0,1.0,0.0,0.0,ham
congrat year special cinema pass call c suprman v matrix starwar etc free bxipw pm dont miss,0.0,0.653,0.347,0.7539,spam
sorri ill call later meet,0.412,0.588,0.0,-0.4215,ham
tell reach,0.0,0.476,0.524,0.0258,ham
yesgauti sehwag odi seri,0.0,1.0,0.0,0.0,ham
gon na pick burger way home cant even move pain kill,0.287,0.549,0.165,-0.4585,ham
ha ha ha good joke girl situat seeker,0.0,0.196,0.804,0.8834,ham
part check iq,0.0,1.0,0.0,0.0,ham
sorri roommat took forev ok come,0.0,0.694,0.306,0.296,ham
ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,0.181,0.603,0.216,0.2023,ham
valu custom pleas advis follow recent review mob award bonu prize call,0.0,0.595,0.405,0.7783,spam
today song dedic day song u dedic send ur valuabl frnd first rpli,0.0,1.0,0.0,0.0,ham
urgent ur award complimentari trip eurodisinc trav acoentri claim txt di morefrmmob shracomorsglsuplt ls aj,0.0,0.71,0.29,0.6486,spam
hear new divorc barbi come ken stuff,0.0,1.0,0.0,0.0,spam
plane give month end,0.0,1.0,0.0,0.0,ham
wah lucki man save money hee,0.0,0.61,0.39,0.4939,ham
finish class,0.0,1.0,0.0,0.0,ham
hi babe im home wan na someth xx,0.0,1.0,0.0,0.0,ham
kkwhere youhow perform,0.0,1.0,0.0,0.0,ham
u call,0.0,1.0,0.0,0.0,ham
wait machan call free,0.0,0.476,0.524,0.5106,ham
that cool gentleman treat digniti respect,0.0,0.27,0.73,0.7964,ham
like peopl much shi pa,0.0,0.615,0.385,0.3612,ham
oper ltgt,0.0,1.0,0.0,0.0,ham
still look job much ta earn,0.0,1.0,0.0,0.0,ham
sorri ill call later,0.483,0.517,0.0,-0.4215,ham
k call ah,0.0,1.0,0.0,0.0,ham
ok way home hi hi,0.0,0.645,0.355,0.296,ham
place man,0.0,1.0,0.0,0.0,ham
yup next stop,0.524,0.476,0.0,-0.296,ham
call later dont network urgnt sm,0.0,1.0,0.0,0.0,ham
real u get yo need ticket one jacket im done alreadi use multi,0.0,1.0,0.0,0.0,ham
ye start send request make pain came back im back bed doubl coin factori got ta cash nitro,0.163,0.837,0.0,-0.5106,ham
im realli still tonight babe,0.0,1.0,0.0,0.0,ham
ela kanoil download come wen ur free,0.0,0.645,0.355,0.5106,ham
yeah dont stand close tho youll catch someth,0.0,0.761,0.239,0.296,ham
sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuffmoro includ time sheet sorri,0.153,0.744,0.102,-0.2732,ham
smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile,0.17,0.279,0.551,0.9186,ham
pleas call custom servic repres ampm guarante cash prize,0.0,0.708,0.292,0.5106,spam
havent plan buy later check alreadi lido got show e afternoon u finish work alreadi,0.0,1.0,0.0,0.0,ham
free rington wait collect simpli text password mix verifi get usher britney fml po box mk h ppw,0.157,0.699,0.144,-0.0772,spam
watch telugu moviewat abt u,0.0,1.0,0.0,0.0,ham
see finish load loan pay,0.259,0.741,0.0,-0.1027,ham
hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u,0.0,0.896,0.104,0.296,ham
see cup coffe anim,0.0,1.0,0.0,0.0,ham
pleas dont text anymor noth els say,0.0,1.0,0.0,0.0,ham
okay name ur price long legal wen pick u ave x am xx,0.0,0.764,0.236,0.34,ham
im still look car buy gone drive test yet,0.0,1.0,0.0,0.0,ham
per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0.0,0.814,0.186,0.4939,ham
wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,0.0,0.84,0.16,0.5859,ham
umma life vava umma love lot dear,0.0,0.424,0.576,0.7783,ham
thank lot wish birthday thank make birthday truli memor,0.0,0.438,0.562,0.7717,ham
aight ill hit get cash,0.412,0.588,0.0,-0.4215,ham
would ip address test consid comput isnt minecraft server,0.0,1.0,0.0,0.0,ham
know grumpi old peopl mom like better lie alway one play joke,0.0,0.444,0.556,0.8402,ham
dont worri guess he busi,0.0,1.0,0.0,0.0,ham
plural noun research,0.0,1.0,0.0,0.0,ham
go dinnermsg,0.0,1.0,0.0,0.0,ham
im ok wif co like tri new thing scare u dun like mah co u said loud,0.137,0.556,0.308,0.4588,ham
gent tri contact last weekend draw show prize guarante call claim code k valid hr ppm,0.0,0.82,0.18,0.5106,spam
wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen,0.0,0.791,0.209,0.5423,ham
enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went,0.0,0.838,0.162,0.4019,ham
winner u special select receiv holiday flight inc speak live oper claim pmin,0.0,0.521,0.479,0.8481,spam
goodo ye must speak friday eggpotato ratio tortilla need,0.0,1.0,0.0,0.0,ham
hmmmi uncl inform he pay school directli pl buy food,0.135,0.865,0.0,-0.1027,ham
privat account statement show unredeem bonu point claim call identifi code expir,0.0,1.0,0.0,0.0,spam
urgent mobil award bonu caller prize final tri contact u call landlin boxwrc ppm,0.0,0.561,0.439,0.8225,spam
new address applespairsal malarki,0.0,1.0,0.0,0.0,ham
today voda number end select receiv award match pleas call quot claim code standard rate app,0.0,0.745,0.255,0.5859,spam
go sao mu today done,0.0,1.0,0.0,0.0,ham
ü predict wat time üll finish buy,0.0,1.0,0.0,0.0,ham
good stuff,0.0,0.256,0.744,0.4404,ham
knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis,0.124,0.876,0.0,-0.34,ham
room,0.0,1.0,0.0,0.0,ham
hey girl r u hope u r well del r bak long time c give call sum time lucyxx,0.0,0.773,0.227,0.6124,ham
kkhow much cost,0.0,1.0,0.0,0.0,ham
im home,0.0,1.0,0.0,0.0,ham
dear call tmorrowpl accomod,0.0,0.536,0.464,0.3818,ham
first answer question,0.0,1.0,0.0,0.0,ham
sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sptyron,0.0,0.714,0.286,0.6808,spam
want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt eca,0.062,0.741,0.198,0.3182,spam
haf msn,0.0,1.0,0.0,0.0,ham
call meet,0.0,1.0,0.0,0.0,ham
check room befor activ,0.0,1.0,0.0,0.0,ham
youll rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri,0.0,0.852,0.148,0.5106,spam
got c lazi type forgot ü lect saw pouch like v nice,0.0,0.654,0.346,0.6486,ham
k text your way,0.0,1.0,0.0,0.0,ham
sir wait mail,0.0,1.0,0.0,0.0,ham
swt thought nver get tire littl thing lovabl person cozsomtim littl thing occupi biggest part heart gud ni,0.0,0.802,0.198,0.6369,ham
know pl open back,0.0,1.0,0.0,0.0,ham
ye see ya dot,0.0,1.0,0.0,0.0,ham
what staff name take class us,0.0,1.0,0.0,0.0,ham
freemsg havent repli text im randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end,0.099,0.901,0.0,-0.296,spam
ummmawil call check inour life begin qatar pl pray hard,0.12,0.684,0.197,0.2263,ham
ki delet contact,0.0,1.0,0.0,0.0,ham
sindu got job birla soft,0.0,1.0,0.0,0.0,ham
wine flow im never,0.0,1.0,0.0,0.0,ham
yup thk cine better co need go plaza mah,0.0,0.734,0.266,0.4404,ham
ok ur typic repli,0.0,0.577,0.423,0.296,ham
per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0.0,0.814,0.186,0.4939,ham
everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one,0.112,0.626,0.261,0.7096,ham
aaooooright work,0.0,1.0,0.0,0.0,ham
im leav hous,0.0,1.0,0.0,0.0,ham
hello love get interview today happi good boy think mear miss,0.096,0.479,0.425,0.7579,ham
custom servic annonc new year deliveri wait pleas call arrang deliveri,0.0,1.0,0.0,0.0,spam
winner u special select receiv cash holiday flight inc speak live oper claim,0.0,0.521,0.479,0.8481,spam
keep safe need miss alreadi envi everyon see real life,0.128,0.64,0.232,0.3182,ham
